Date,Open,Close,delta,% delta,mean,median,
5/7/2024,5187.200195,5187.700195,6.960,0.13%,,,
5/8/2024,5168.97998,5187.669922,-0.030,0.00%,,,
5/9/2024,5189.029785,5214.080078,26.410,0.51%,,,
5/10/2024,5225.490234,5222.680176,8.600,0.16%,,,
5/13/2024,5233.080078,5221.419922,-1.260,-0.02%,,,
5/14/2024,5221.100098,5246.680176,25.260,0.48%,,,
5/15/2024,5263.259766,5308.149902,61.470,1.17%,,,
5/16/2024,5310.069824,5297.100098,-11.050,-0.21%,,,
5/17/2024,5303.100098,5303.27002,6.170,0.12%,,,
5/20/2024,5305.350098,5308.129883,4.860,0.09%,,,
5/21/2024,5298.689941,5321.410156,13.280,0.25%,,,
5/22/2024,5319.279785,5307.009766,-14.400,-0.27%,,,
5/23/2024,5340.259766,5267.839844,-39.170,-0.74%,,,
5/24/2024,5281.450195,5304.720215,36.880,0.70%,,,
5/28/2024,5315.910156,5306.040039,1.320,0.02%,,,
5/29/2024,5278.72998,5266.950195,-39.090,-0.74%,,,
5/30/2024,5259.77002,5235.47998,-31.470,-0.60%,,,
5/31/2024,5243.209961,5277.509766,42.030,0.80%,,,
6/3/2024,5297.149902,5283.399902,5.890,0.11%,,,
6/4/2024,5278.240234,5291.339844,7.940,0.15%,,,
6/5/2024,5314.47998,5354.029785,62.690,1.18%,,,
6/6/2024,5357.799805,5352.959961,-1.070,-0.02%,,,
6/7/2024,5343.810059,5346.990234,-5.970,-0.11%,,,
6/10/2024,5341.220215,5360.790039,13.800,0.26%,,,
6/11/2024,5353,5375.319824,14.530,0.27%,,,
6/12/2024,5409.129883,5421.029785,45.710,0.85%,,,
6/13/2024,5441.930176,5433.740234,12.710,0.23%,,,
6/14/2024,5424.080078,5431.600098,-2.140,-0.04%,,,
6/17/2024,5431.109863,5473.22998,41.630,0.77%,,,
6/18/2024,5476.149902,5487.029785,13.800,0.25%,,,
6/20/2024,5499.990234,5473.169922,-13.860,-0.25%,,,
6/21/2024,5466.77002,5464.620117,-8.550,-0.16%,,,
6/24/2024,5459.580078,5447.870117,-16.750,-0.31%,,,
6/25/2024,5460.72998,5469.299805,21.430,0.39%,,,
6/26/2024,5460.709961,5477.899902,8.600,0.16%,,,
6/27/2024,5473.589844,5482.870117,4.970,0.09%,,,
6/28/2024,5488.47998,5460.47998,-22.390,-0.41%,,,
7/1/2024,5471.080078,5475.089844,14.610,0.27%,,,
7/2/2024,5461.839844,5509.009766,33.920,0.62%,,,
7/3/2024,5507.439941,5537.02002,28.010,0.51%,,,
7/5/2024,5537.910156,5567.189941,30.170,0.54%,,,
7/8/2024,5572.75,5572.850098,5.660,0.10%,,,
7/9/2024,5584.240234,5576.97998,4.130,0.07%,,,
7/10/2024,5591.259766,5633.910156,56.930,1.02%,,,
7/11/2024,5635.209961,5584.540039,-49.370,-0.88%,,,
7/12/2024,5590.759766,5615.350098,30.810,0.55%,,,
7/15/2024,5638.160156,5631.220215,15.870,0.28%,,,
7/16/2024,5644.089844,5667.200195,35.980,0.64%,,,
7/17/2024,5610.069824,5588.27002,-78.930,-1.39%,,,
7/18/2024,5608.560059,5544.589844,-43.680,-0.78%,,,
7/19/2024,5543.370117,5505,-39.590,-0.71%,,,
7/22/2024,5544.540039,5564.410156,59.410,1.08%,,,
7/23/2024,5565.299805,5555.740234,-8.670,-0.16%,,,
7/24/2024,5505.839844,5427.129883,-128.610,-2.31%,,,
7/25/2024,5428.700195,5399.220215,-27.910,-0.51%,,,
7/26/2024,5433.669922,5459.100098,59.880,1.11%,,,
7/29/2024,5476.549805,5463.540039,4.440,0.08%,,,
7/30/2024,5478.72998,5436.439941,-27.100,-0.50%,,,
7/31/2024,5505.589844,5522.299805,85.860,1.58%,,,
8/1/2024,5537.839844,5446.680176,-75.620,-1.37%,,,
8/2/2024,5376.629883,5346.560059,-100.120,-1.84%,,,
